OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
STARLINK-35441,2025-223R,Sattelite,2026-02-22T20:55:21.545760,15.30225962,0.00017455,53.1605,3.2412,94.0383,266.0818,0,U,65869,999,2193,0.00095186178,0.00027961,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35433,2025-223S,Sattelite,2026-02-22T20:03:41.525856,15.30227863,0.00011169,53.1606,3.0147,92.2123,267.9006,0,U,65870,999,2194,0.0011583871,0.00034136,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35465,2025-223T,Sattelite,2026-02-22T20:21:55.834560,15.30228813,0.00013601,53.1621,3.093,98.5498,261.5657,0,U,65871,999,2193,0.0013680194,0.00040414,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-34108,2025-223U,Sattelite,2026-02-22T13:45:58.226976,15.30204104,0.0001274,53.1608,4.2203,107.6318,252.4822,0,U,65872,999,2189,0.0012226,0.00036032,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35423,2025-223V,Sattelite,2026-02-22T05:40:30.425664,15.30183814,0.00011949,53.1603,5.6753,88.9768,271.137,0,U,65873,999,2184,0.00079826814,0.00023346,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35425,2025-223W,Sattelite,2026-02-22T06:33:41.494752,15.30206296,0.00016455,53.1609,5.9009,98.8228,261.2959,0,U,65874,999,2184,0.0007234444,0.00021132,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-34688,2025-223X,Sattelite,2026-02-22T21:15:06.698016,15.30237677,0.00014508,53.1595,3.3227,108.9049,251.2109,0,U,65875,999,2193,0.0013821462,0.00040849,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-34438,2025-223Y,Sattelite,2026-02-22T20:52:19.240032,15.30223925,0.00013899,53.1605,3.2202,59.8311,300.2828,0,U,65876,999,2193,0.0010431409,0.00030686,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35462,2025-223Z,Sattelite,2026-02-22T05:43:32.683872,15.30191029,0.00014468,53.1614,5.687,61.3894,298.7252,0,U,65877,999,2184,0.0010650781,0.0003131,0.0,False,False,False,False,False,False,False,False,starlink,
STARLINK-35453,2025-223AA,Sattelite,2026-02-22T21:01:26.229792,15.3023151,0.00011962,53.16,3.2591,89.9774,270.1364,0,U,65878,999,2193,0.0013136174,0.00038788,0.0,False,False,False,False,False,False,False,False,starlink,
